Schlüsselnummer;Name der Regionaleinheit;Stand Tagesdatum;Stand Uhrzeit;Stimmberechtigte;Wähler;Wahlbeteiligung in %;Veränderung der Wahlbeteiligung gegenüber 2018 in %-P.;abgegebene Erststimmen insgesamt 2023;abgegebene Erststimmen insgesamt 2018;gültige Erststimmen insgesamt 2023;gültige Erststimmen insgesamt 2018;ungültige Erststimmen 2023;ungültige Erststimmen 2018;abgegebene Zweitstimmen insgesamt 2023;abgegebene Zweitstimmen insgesamt 2018;gültige Zweitstimmen insgesamt 2023;gültige Zweitstimmen insgesamt 2018;ungültige Zweitstimmen 2023;ungültige Zweitstimmen 2018;abgegebene Gesamtstimmen insgesamt 2023;abgegebene Gesamtstimmen insgesamt 2018;gültige Gesamtstimmen insgesamt 2023;gültige Gesamtstimmen insgesamt 2018;ungültige Gesamtstimmen 2023;ungültige Gesamtstimmen 2018;Partei mit Erststimmenmehrheit;Bewerber mit Erststimmenmehrheit;Parteiname;Bewerber CSU;Erststimmen CSU 2023;Erststimmen CSU 2018;Zweitstimmen CSU 2023;Zweitstimmen CSU 2018; Gesamtstimmen CSU 2023;Gesamtstimmen CSU 2018;Parteiname;Bewerber GRÜNE;Erststimmen GRÜNE 2023;Erststimmen GRÜNE 2018;Zweitstimmen GRÜNE 2023;Zweitstimmen GRÜNE 2018; Gesamtstimmen GRÜNE 2023;Gesamtstimmen GRÜNE 2018;Parteiname;Bewerber FREIE WÄHLER;Erststimmen FREIE WÄHLER 2023;Erststimmen FREIE WÄHLER 2018;Zweitstimmen FREIE WÄHLER 2023;Zweitstimmen FREIE WÄHLER 2018; Gesamtstimmen FREIE WÄHLER 2023;Gesamtstimmen FREIE WÄHLER 2018;Parteiname;Bewerber AfD;Erststimmen AfD 2023;Erststimmen AfD 2018;Zweitstimmen AfD 2023;Zweitstimmen AfD 2018; Gesamtstimmen AfD 2023;Gesamtstimmen AfD 2018;Parteiname;Bewerber SPD;Erststimmen SPD 2023;Erststimmen SPD 2018;Zweitstimmen SPD 2023;Zweitstimmen SPD 2018; Gesamtstimmen SPD 2023;Gesamtstimmen SPD 2018;Parteiname;Bewerber FDP;Erststimmen FDP 2023;Erststimmen FDP 2018;Zweitstimmen FDP 2023;Zweitstimmen FDP 2018; Gesamtstimmen FDP 2023;Gesamtstimmen FDP 2018;Parteiname;Bewerber DIE LINKE;Erststimmen DIE LINKE 2023;Erststimmen DIE LINKE 2018;Zweitstimmen DIE LINKE 2023;Zweitstimmen DIE LINKE 2018; Gesamtstimmen DIE LINKE 2023;Gesamtstimmen DIE LINKE 2018;Parteiname;Bewerber BP;Erststimmen BP 2023;Erststimmen BP 2018;Zweitstimmen BP 2023;Zweitstimmen BP 2018; Gesamtstimmen BP 2023;Gesamtstimmen BP 2018;Parteiname;Bewerber ÖDP;Erststimmen ÖDP 2023;Erststimmen ÖDP 2018;Zweitstimmen ÖDP 2023;Zweitstimmen ÖDP 2018; Gesamtstimmen ÖDP 2023;Gesamtstimmen ÖDP 2018;Parteiname;Bewerber Die PARTEI;Erststimmen Die PARTEI 2023;Erststimmen Die PARTEI 2018;Zweitstimmen Die PARTEI 2023;Zweitstimmen Die PARTEI 2018; Gesamtstimmen Die PARTEI 2023;Gesamtstimmen Die PARTEI 2018;Parteiname;Bewerber Tierschutzpartei;Erststimmen Tierschutzpartei 2023;Erststimmen Tierschutzpartei 2018;Zweitstimmen Tierschutzpartei 2023;Zweitstimmen Tierschutzpartei 2018; Gesamtstimmen Tierschutzpartei 2023;Gesamtstimmen Tierschutzpartei 2018;Parteiname;Bewerber V-Partei³;Erststimmen V-Partei³ 2023;Erststimmen V-Partei³ 2018;Zweitstimmen V-Partei³ 2023;Zweitstimmen V-Partei³ 2018; Gesamtstimmen V-Partei³ 2023;Gesamtstimmen V-Partei³ 2018;Parteiname;Bewerber PdH;Erststimmen PdH 2023;Erststimmen PdH 2018;Zweitstimmen PdH 2023;Zweitstimmen PdH 2018; Gesamtstimmen PdH 2023;Gesamtstimmen PdH 2018;Parteiname;Bewerber dieBasis;Erststimmen dieBasis 2023;Erststimmen dieBasis 2018;Zweitstimmen dieBasis 2023;Zweitstimmen dieBasis 2018; Gesamtstimmen dieBasis 2023;Gesamtstimmen dieBasis 2018;Parteiname;Bewerber Volt;Erststimmen Volt 2023;Erststimmen Volt 2018;Zweitstimmen Volt 2023;Zweitstimmen Volt 2018; Gesamtstimmen Volt 2023;Gesamtstimmen Volt 2018;Parteiname;Bewerber Sonstige 2018;Erststimmen Sonstige 2018 2023;Erststimmen Sonstige 2018 2018;Zweitstimmen Sonstige 2018 2023;Zweitstimmen Sonstige 2018 2018; Gesamtstimmen Sonstige 2018 2023;Gesamtstimmen Sonstige 2018 2018;
111;Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen;24.10.2023;13:00;124169;92208;74,3;+0,3;92206;92483;91146;91588;1060;895;92208;92483;90842;91154;1366;1329;184414;184966;181988;182742;2426;2224;CSU;Holz, Thomas;CSU;Holz, Thomas;33367;35139;38650;39339;72017;74478;GRÜNE;Koch, Jakob;12678;19056;12648;16151;25326;35207;FREIE WÄHLER;Streibl, Florian;19315;13293;13819;9516;33134;22809;AfD;Hahn, Dr. Ingo;11928;8173;11794;8056;23722;16229;SPD;Hoechner, Benedikt;4912;4471;5017;5680;9929;10151;FDP;Sachs, Tim;2567;4109;2796;4189;5363;8298;DIE LINKE;Englich, Sebastian;1176;1930;944;2145;2120;4075;BP;Grasegger, Andreas;2349;2505;1128;2615;3477;5120;ÖDP;Tessun, Manuel;1498;1406;1357;1381;2855;2787;Die PARTEI;Merkl, Florian;1044;545;632;288;1676;833;Tierschutzpartei;-;X;X;703;608;703;608;V-Partei³;Kubitza, Annika;312;258;152;209;464;467;PdH;-;X;X;160;93;160;93;dieBasis;-;X;X;670;X;670;X;Volt;-;X;X;372;X;372;X;Sonstige 2018;-;X;703;X;884;X;1587;
112;Berchtesgadener Land;24.10.2023;13:00;94118;67444;71,7;+0,3;67444;67508;66696;66862;748;646;67443;67508;66272;66166;1171;1342;134887;135016;132968;133028;1919;1988;CSU;Kaniber, Michaela;CSU;Kaniber, Michaela;25070;28554;25481;28071;50551;56625;GRÜNE;Zimmer, Dr. Bernhard;7406;10677;7471;11080;14877;21757;FREIE WÄHLER;Koller, Michael;16216;9103;14458;7871;30674;16974;AfD;Koch, Wolfgang;9449;6397;9432;6590;18881;12987;SPD;Aicher, Markus;3348;4480;3392;4213;6740;8693;FDP;Farthofer, Franz;1060;2351;1342;2300;2402;4651;DIE LINKE;Kreuzeder, Rudolf;877;1712;680;1558;1557;3270;BP;Tsoulouchopoulos, Stavros;539;2192;706;1995;1245;4187;ÖDP;Sturm, Peter;1328;1014;1147;880;2475;1894;Die PARTEI;Gaßner, Johanna;679;X;440;244;1119;244;Tierschutzpartei;-;X;X;578;495;578;495;V-Partei³;-;X;X;111;124;111;124;PdH;-;X;X;102;47;102;47;dieBasis;Englisch, Felicitas;724;X;718;X;1442;X;Volt;-;X;X;214;X;214;X;Sonstige 2018;-;X;382;X;698;X;1080;
113;Dachau;24.10.2023;13:00;105133;80069;76,2;-1,5;80068;81299;79318;80670;750;629;80067;81295;79185;80363;882;932;160135;162594;158503;161033;1632;1561;CSU;Seidenath, Bernhard;CSU;Seidenath, Bernhard;28186;27612;31632;29962;59818;57574;GRÜNE;Modlinger, Dr. Martin;11093;12851;12047;14628;23140;27479;FREIE WÄHLER;Groß, Johann;14770;11091;12048;10416;26818;21507;AfD;Henritzi, Jürgen;9233;7412;9304;7235;18537;14647;SPD;Böck, Hubert;6966;10211;5699;6829;12665;17040;FDP;Sommerfeld, Dr. Frank;2723;4724;2381;3978;5104;8702;DIE LINKE;Felsner, Sebastian;822;1775;766;1733;1588;3508;BP;Graf, Michael;1193;1910;885;1985;2078;3895;ÖDP;Heim, Adrian;1477;1357;1396;1314;2873;2671;Die PARTEI;Handfest, Fabian;710;X;579;299;1289;299;Tierschutzpartei;Zeidler, Andreas;743;921;806;819;1549;1740;V-Partei³;Zacherl, Sonja;122;X;129;147;251;147;PdH;-;X;X;214;104;214;104;dieBasis;Briechle, Michael;580;X;666;X;1246;X;Volt;Grimm, Samuel;700;X;633;X;1333;X;Sonstige 2018;-;X;806;X;914;X;1720;
114;Ebersberg;24.10.2023;13:00;99620;78648;78,9;-0,9;78648;79234;77843;78652;805;582;78645;79231;77750;78360;895;871;157293;158465;155593;157012;1700;1453;CSU;Huber, Thomas;CSU;Huber, Thomas;29825;28381;29383;28130;59208;56511;GRÜNE;von Sarnowski, Thomas;13366;16582;14522;17503;27888;34085;FREIE WÄHLER;Hörtrich, Maria;9723;6449;10348;7299;20071;13748;AfD;Forster, Rainer;7521;5614;7852;5852;15373;11466;SPD;Rauscher, Doris;8635;9535;6374;7078;15009;16613;FDP;Salih, Marc;3121;5270;3362;5244;6483;10514;DIE LINKE;Boegelein, Tobias;829;2000;912;2021;1741;4021;BP;Böhnlein, Robert;932;2093;835;1897;1767;3990;ÖDP;Schmid, Charlotte;1177;1476;1199;1172;2376;2648;Die PARTEI;Burget, Andreas;631;626;602;361;1233;987;Tierschutzpartei;Schwolow, Stephan;802;X;855;582;1657;582;V-Partei³;Matzke, Harald;123;238;124;174;247;412;PdH;-;X;X;200;98;200;98;dieBasis;Wassylischin, Johanna;647;X;603;X;1250;X;Volt;Scharf, Peter;511;X;579;X;1090;X;Sonstige 2018;-;X;388;X;949;X;1337;
115;Eichstätt;24.10.2023;13:00;98262;77155;78,5;+1,5;76868;75191;76240;74626;628;565;76866;75190;76054;74277;812;913;153734;150381;152294;148903;1440;1478;CSU;Schorer-Dremel, Tanja;CSU;Schorer-Dremel, Tanja;31363;32208;32018;33344;63381;65552;GRÜNE;Zink, Simone;6630;8852;7159;8507;13789;17359;FREIE WÄHLER;Haunsberger, Anton;14495;10078;12770;8120;27265;18198;AfD;Lipp, Oskar;11961;8571;11736;8338;23697;16909;SPD;Harrer, Michelle;5062;5235;4828;5881;9890;11116;FDP;Eberle, Nico;1863;3316;2510;2851;4373;6167;DIE LINKE;Diao, Malik;893;1862;922;2136;1815;3998;BP;Distler, Wolfgang;1164;2411;981;2046;2145;4457;ÖDP;Lechner, Maria;1211;1407;1017;1380;2228;2787;Die PARTEI;Ponschab, Kilian;651;686;395;337;1046;1023;Tierschutzpartei;-;X;X;526;489;526;489;V-Partei³;Schmauß, Maximilian;200;X;120;167;320;167;PdH;-;X;X;139;96;139;96;dieBasis;Hengl, Nikolaus;747;X;627;X;1374;X;Volt;-;X;X;306;X;306;X;Sonstige 2018;-;X;X;X;585;X;585;
116;Erding;24.10.2023;13:00;100244;77354;77,2;-0,4;77351;77171;76642;76550;709;621;77354;77169;76481;76251;873;918;154705;154340;153123;152801;1582;1539;CSU;Scharf, Ulrike;CSU;Scharf, Ulrike;30237;29038;28623;28371;58860;57409;GRÜNE;Wegmann, Laetitia;8530;11848;9616;12715;18146;24563;FREIE WÄHLER;Krage, Sven;14308;10531;16077;11150;30385;21681;AfD;Huber, Martin;11118;8707;9865;7982;20983;16689;SPD;Klingbeil, Benedikt;4668;5220;4475;5058;9143;10278;FDP;Connelly, Anne;2041;3256;2096;3297;4137;6553;DIE LINKE;Schmidt-Kursch, Nicola;710;1794;748;1828;1458;3622;BP;Binder, Simone;976;2708;867;2240;1843;4948;ÖDP;Reiter, Wolfgang;2011;2243;1475;1587;3486;3830;Die PARTEI;Fiedler, Carina;791;568;532;399;1323;967;Tierschutzpartei;-;X;X;699;632;699;632;V-Partei³;Angermaier, Ronja;247;238;163;172;410;410;PdH;-;X;X;186;75;186;75;dieBasis;Motschmann, Alexandra;541;X;602;X;1143;X;Volt;Schade, Darico;464;X;457;X;921;X;Sonstige 2018;-;X;399;X;745;X;1144;
117;Freising;24.10.2023;13:00;120611;90104;74,7;-1,5;90103;91924;89274;91327;829;597;90104;91934;89071;90696;1033;1238;180207;183858;178345;182023;1862;1835;CSU;Herrmann, Dr. Florian;CSU;Herrmann, Dr. Florian;27987;24986;29612;26728;57599;51714;GRÜNE;Becher, Johannes;16570;21905;15636;20880;32206;42785;FREIE WÄHLER;Zierer, Benno;19606;19199;17613;15865;37219;35064;AfD;Hilz, Melanie;10178;8742;10397;8577;20575;17319;SPD;Graf, Alina;5510;4756;5745;6118;11255;10874;FDP;Markwort, Helmut;2469;4182;2686;4337;5155;8519;DIE LINKE;Hoyer, Dr. Guido;1229;2853;1181;2708;2410;5561;BP;Seitz, Georg;824;1725;690;1578;1514;3303;ÖDP;Bergauer, Felix;1241;1280;1396;1279;2637;2559;Die PARTEI;Welser, Niklas;824;811;846;554;1670;1365;Tierschutzpartei;Heinrichs, Sandra;940;X;986;684;1926;684;V-Partei³;Lippa, Dr. Magdalena;277;X;200;177;477;177;PdH;Theimer, Conny;423;X;349;155;772;155;dieBasis;Werkmeister, Anne;1196;X;1094;X;2290;X;Volt;-;X;X;640;X;640;X;Sonstige 2018;-;X;888;X;1056;X;1944;
118;Fürstenfeldbruck-Ost;24.10.2023;13:00;115125;88663;77,0;-1,5;88660;92214;87757;91526;903;688;88660;92211;87663;91274;997;937;177320;184425;175420;182800;1900;1625;CSU;Miskowitsch, Benjamin;CSU;Miskowitsch, Benjamin;31120;29373;33124;31396;64244;60769;GRÜNE;Birzele, Andreas;16018;22786;16576;20704;32594;43490;FREIE WÄHLER;Friedl, Hans;13240;11286;11344;9959;24584;21245;AfD;Banholzer, Peter;8603;7622;8679;7391;17282;15013;SPD;Liebetruth, Daniel;8791;8105;7857;8709;16648;16814;FDP;Bode, Ulrich;3272;5496;3369;5543;6641;11039;DIE LINKE;Voß, Daniela;850;2230;858;2407;1708;4637;BP;Müller, Christian;825;1447;757;1422;1582;2869;ÖDP;Holdt, Christian;1233;1124;1377;1144;2610;2268;Die PARTEI;Wieser, Stefan;849;X;795;351;1644;351;Tierschutzpartei;Fink, Claus-Jürgen;948;921;935;897;1883;1818;V-Partei³;Wiedorn, Cornelia;212;222;213;199;425;421;PdH;Hannig, Jörg;313;X;308;132;621;132;dieBasis;Morlock, Olaf;746;X;750;X;1496;X;Volt;Kelichhaus, Tim;737;X;721;X;1458;X;Sonstige 2018;-;X;914;X;1020;X;1934;
119;Ingolstadt;24.10.2023;13:00;88380;56141;63,5;-0,5;56141;58016;55547;57549;594;467;56141;58014;55272;57124;869;890;112282;116030;110819;114673;1463;1357;CSU;Grob, Alfred;CSU;Grob, Alfred;19779;20734;20051;20833;39830;41567;GRÜNE;Nagel, Merlin;7394;9068;7935;9965;15329;19033;FREIE WÄHLER;Reichhart, Markus;7260;4270;6080;4262;13340;8532;AfD;Rehm, Lukas;9157;7445;9342;7321;18499;14766;SPD;Rößler, Markus;5068;5251;4604;5183;9672;10434;FDP;Schäuble, Jakob;2402;4257;2820;3686;5222;7943;DIE LINKE;Pauling, Christian-Linus;1530;3368;1225;2419;2755;5787;BP;Diensthuber, Adalbert;430;897;426;882;856;1779;ÖDP;Hofmaier, Franz;1199;920;867;876;2066;1796;Die PARTEI;Ott, Patrick;663;490;456;395;1119;885;Tierschutzpartei;-;X;X;403;348;403;348;V-Partei³;Briem, Christiane;165;261;104;199;269;460;PdH;-;X;159;168;128;168;287;dieBasis;Schwarz, Nikolaus;500;X;449;X;949;X;Volt;-;X;X;342;X;342;X;Sonstige 2018;-;X;429;X;627;X;1056;
120;Landsberg am Lech, Fürstenfeldbruck-West;24.10.2023;13:00;126865;96568;76,1;-0,8;96568;97024;95637;96101;931;923;96566;97025;95224;95743;1342;1282;193134;194049;190861;191844;2273;2205;CSU;Dorow, Alex;CSU;Dorow, Alex;34259;34085;34062;34193;68321;68278;GRÜNE;Triebel, Gabriele;19064;23488;18577;23685;37641;47173;FREIE WÄHLER;Lichtenstern, Florian;13488;9254;13148;9230;26636;18484;AfD;Musil, Thomas;11316;8030;11050;7897;22366;15927;SPD;Sahuric, Amir;5992;7356;6181;6705;12173;14061;FDP;Deiner, Andreas;2818;5515;3044;4756;5862;10271;DIE LINKE;Ketterl, Simone;1160;2876;1090;2543;2250;5419;BP;Baur, Anton;1510;2645;1448;2253;2958;4898;ÖDP;Kuret, Karin;1896;2217;1837;1601;3733;3818;Die PARTEI;Lutzeier, Michael;1450;X;1194;467;2644;467;Tierschutzpartei;Eder-John, Nathalie;1186;X;1135;846;2321;846;V-Partei³;Misiewicz, Beata;192;X;219;264;411;264;PdH;-;X;X;286;149;286;149;dieBasis;Salfer, Richard;1306;X;1271;X;2577;X;Volt;-;X;X;682;X;682;X;Sonstige 2018;-;X;635;X;1154;X;1789;
121;Miesbach;24.10.2023;13:00;86860;66552;76,6;-0,2;66552;66815;65940;66349;612;466;66549;66813;65480;65745;1069;1068;133101;133628;131420;132094;1681;1534;CSU;Aigner, Ilse;CSU;Aigner, Ilse;28108;30297;22777;25033;50885;55330;GRÜNE;Waas, Gerhard;8862;11086;9508;12046;18370;23132;FREIE WÄHLER;Rosenberger, Martin;12512;7430;13831;8516;26343;15946;AfD;Kofner, Jurij;7037;5445;8108;5677;15145;11122;SPD;Peetroons, Bruno;3328;4435;4077;4610;7405;9045;FDP;Kreder, Dr. Dirk;2168;3283;2686;3739;4854;7022;DIE LINKE;Osiander, Elisabeth;660;1322;581;1356;1241;2678;BP;Klinkicht, Marcus;704;1689;1008;2232;1712;3921;ÖDP;Limmer, Peter;834;1043;867;874;1701;1917;Die PARTEI;Weigelt, Daniel;420;X;387;200;807;200;Tierschutzpartei;-;X;X;475;564;475;564;V-Partei³;Braun, Daniel;163;X;112;125;275;125;PdH;-;X;X;110;79;110;79;dieBasis;Oppenrieder, Josef;700;X;639;X;1339;X;Volt;Lemoigne, Elisabeth;444;X;314;X;758;X;Sonstige 2018;-;X;319;X;694;X;1013;
122;Mühldorf a.Inn;24.10.2023;13:00;85893;61966;72,1;+0,8;61965;60948;61292;60366;673;582;61965;60949;61045;59988;920;961;123930;121897;122337;120354;1593;1543;CSU;Schnürer, Sascha;CSU;Schnürer, Sascha;21122;29105;24536;26137;45658;55242;GRÜNE;Hegmann, Bianca;5756;6748;5547;6870;11303;13618;FREIE WÄHLER;Saller, Markus;15479;6089;11950;5486;27429;11575;AfD;Multusch, Oliver;10760;7501;10516;7248;21276;14749;SPD;Altmann, Sebastian;2638;3741;2713;6206;5351;9947;FDP;Clemente, Valentin;1475;1843;1379;2064;2854;3907;DIE LINKE;Spanjaart, Monika;680;1271;540;1291;1220;2562;BP;Wahl, Simon;940;2036;726;1919;1666;3955;ÖDP;Suttner, Bernhard;1346;1488;1082;1224;2428;2712;Die PARTEI;-;X;X;385;257;385;257;Tierschutzpartei;-;X;X;523;462;523;462;V-Partei³;Böhling, Luis;266;241;132;154;398;395;PdH;-;X;X;126;62;126;62;dieBasis;Siemund, Edgar;830;X;667;X;1497;X;Volt;-;X;X;223;X;223;X;Sonstige 2018;-;X;303;X;608;X;911;
123;München-Land-Nord;24.10.2023;13:00;117322;88972;75,8;-2,2;88971;92964;88129;92259;842;705;88971;92963;87865;91934;1106;1029;177942;185927;175994;184193;1948;1734;CSU;Böltl, Maximilian;CSU;Böltl, Maximilian;33608;28202;33516;30390;67124;58592;GRÜNE;Köhler, Claudia;16858;21059;17892;21277;34750;42336;FREIE WÄHLER;Kraus, Nikolaus;11249;11227;9146;8463;20395;19690;AfD;Specht, Christina;7936;7038;8249;6941;16185;13979;SPD;Schardt, Florian;8416;10443;8589;10199;17005;20642;FDP;Diem, Katharina;3638;7011;3966;6703;7604;13714;DIE LINKE;Chojnacki, Pia;1133;2721;974;2682;2107;5403;BP;Ruppert, Peter;543;1357;540;1277;1083;2634;ÖDP;Riedelbauch, Sebastian;1450;1024;1355;1182;2805;2206;Die PARTEI;Bauer, Anna;798;X;769;345;1567;345;Tierschutzpartei;Reithmayer, Elisabeth;965;1106;1005;931;1970;2037;V-Partei³;Grötsch, Lukas;115;X;151;189;266;189;PdH;-;X;X;293;141;293;141;dieBasis;Kappelmaier, Udo;682;X;680;X;1362;X;Volt;Dietzel, Karl;738;X;740;X;1478;X;Sonstige 2018;-;X;1071;X;1214;X;2285;
124;München-Land-Süd;24.10.2023;13:00;114782;89892;78,3;-2,2;89891;92325;89095;91709;796;616;89884;92311;89015;91470;869;841;179775;184636;178110;183179;1665;1457;CSU;Schreyer, Kerstin;CSU;Schreyer, Kerstin;33985;29564;34086;31427;68071;60991;GRÜNE;Büchler, Dr. Markus;19830;21649;20132;23977;39962;45626;FREIE WÄHLER;Seitner, Johannes;9123;7564;8671;7217;17794;14781;AfD;Kremer, Peter;7341;6355;7403;6381;14744;12736;SPD;Himmelberg, Christine;7815;11217;7722;7866;15537;19083;FDP;Deutsch, Marco;5241;9442;5260;8183;10501;17625;DIE LINKE;Baudler, Bernhard;889;1965;847;2064;1736;4029;BP;Beierbeck, Franz;703;1439;594;1240;1297;2679;ÖDP;Schuster, Karin;1175;1030;1305;1116;2480;2146;Die PARTEI;-;X;467;470;317;470;784;Tierschutzpartei;Lachner, Dr. Gabriele;1022;X;852;509;1874;509;V-Partei³;Neukirchen, Sarah;139;257;141;179;280;436;PdH;-;X;X;217;111;217;111;dieBasis;Sönnichsen, Dr. Andreas;800;X;599;X;1399;X;Volt;Graf, Simon;1032;X;716;X;1748;X;Sonstige 2018;-;X;760;X;883;X;1643;
125;Neuburg-Schrobenhausen;24.10.2023;13:00;82521;61721;74,8;+2,4;61721;59067;61267;58626;454;441;61720;59065;60886;58201;834;864;123441;118132;122153;116827;1288;1305;FREIE WÄHLER;Weigert, Roland;CSU;Enghuber, Matthias;18444;20292;23899;25462;42343;45754;GRÜNE;Abstreiter, Marina;5377;5925;5555;7034;10932;12959;FREIE WÄHLER;Weigert, Roland;19363;16815;12157;8137;31520;24952;AfD;Gmelch, Christin;10409;6533;10713;6749;21122;13282;SPD;Sibinger, Siegfried;2659;3187;2947;3640;5606;6827;FDP;Ley, Theresa;1209;1760;1796;2255;3005;4015;DIE LINKE;Riedelsheimer, Rudolf;454;1176;535;1342;989;2518;BP;Weigl, Anton;660;1466;578;1547;1238;3013;ÖDP;Geißel, Holger;749;607;786;667;1535;1274;Die PARTEI;Käsler, Gabriele;540;552;377;351;917;903;Tierschutzpartei;-;X;X;441;405;441;405;V-Partei³;Varisco-Zinz, Filomela;130;X;113;122;243;122;PdH;-;X;X;105;62;105;62;dieBasis;Reineke, Dr. Eckhard;895;X;605;X;1500;X;Volt;Wilfling, Damian;378;X;279;X;657;X;Sonstige 2018;-;X;313;X;428;X;741;
126;Pfaffenhofen a.d.Ilm;24.10.2023;13:00;83487;62395;74,7;+1,4;62395;60848;61880;60226;515;622;62394;60848;61687;60047;707;801;124789;121696;123567;120273;1222;1423;CSU;Straub, Karl;CSU;Straub, Karl;20442;21512;23340;23935;43782;45447;GRÜNE;Dörfler, Roland;6017;6821;6376;8256;12393;15077;FREIE WÄHLER;Schrott, Sebastian;13540;8043;11426;6927;24966;14970;AfD;Teich, Tobias;10386;7738;10139;7788;20525;15526;SPD;Käser, Markus;5376;5882;4228;4637;9604;10519;FDP;Gutöhrle, Bianca;1361;5665;1667;3027;3028;8692;DIE LINKE;Fuchs, Moritz;600;1337;613;1526;1213;2863;BP;Prado Diaz, Robert;597;1241;624;1360;1221;2601;ÖDP;Skoruppa, Dr. Stefan;2245;1210;1333;1061;3578;2271;Die PARTEI;Herber, Michael;687;509;422;274;1109;783;Tierschutzpartei;-;X;X;495;435;495;435;V-Partei³;Förth, Tobias;149;268;105;196;254;464;PdH;-;X;X;148;65;148;65;dieBasis;Kohwagner, Stefan;480;X;480;X;960;X;Volt;-;X;X;291;X;291;X;Sonstige 2018;-;X;X;X;560;X;560;
127;Rosenheim-Ost;24.10.2023;13:00;111416;81196;72,9;-1,3;81195;82622;80343;81883;852;739;81184;82618;80086;81525;1098;1093;162379;165240;160429;163408;1950;1832;CSU;Artmann, Daniel;CSU;Artmann, Daniel;27309;29019;29285;31635;56594;60654;GRÜNE;Weigel, Valentin;12744;16337;12611;15549;25355;31886;FREIE WÄHLER;Schloots, Gerhard;14675;9975;13494;8692;28169;18667;AfD;Winhart, Andreas;10384;8264;10042;8029;20426;16293;SPD;Frank, Thomas;5072;4919;5024;5356;10096;10275;FDP;Buse, Dr. Jörg;2836;4400;2772;4028;5608;8428;DIE LINKE;Rechmann, Sabine;1177;2150;1055;1993;2232;4143;BP;Freund, Helmut;1690;3575;1188;2905;2878;6480;ÖDP;Fortner, Josef;1461;1552;1216;1173;2677;2725;Die PARTEI;Unger, Christian;737;775;611;368;1348;1143;Tierschutzpartei;Povolny, Andrea;979;X;861;606;1840;606;V-Partei³;Bierwirth, Janina;166;X;161;161;327;161;PdH;-;X;X;184;102;184;102;dieBasis;Herwegh, Veronika;1113;X;1165;X;2278;X;Volt;-;X;X;417;X;417;X;Sonstige 2018;-;X;917;X;928;X;1845;
128;Rosenheim-West;24.10.2023;13:00;110999;83161;74,9;+0,0;83161;82022;82329;81363;832;659;83161;82022;82200;81100;961;922;166322;164044;164529;162463;1793;1581;CSU;Friesinger, Sebastian;CSU;Friesinger, Sebastian;27188;30752;31368;32989;58556;63741;GRÜNE;Thalmayr, Martina;11937;13237;11228;14088;23165;27325;FREIE WÄHLER;Lausch, Josef;16954;9742;13023;7480;29977;17222;AfD;Bergmüller, Franz;11969;8595;12092;8457;24061;17052;SPD;Oesterle, Heinz;4818;5848;4916;5481;9734;11329;FDP;Peschutter, Dirk;2350;4474;2560;3963;4910;8437;DIE LINKE;Bauhof, Martin;1093;2426;1080;2010;2173;4436;BP;Weber, Florian;1521;3250;1239;3090;2760;6340;ÖDP;Mehlo-Plath, Christine;1330;1685;1272;1355;2602;3040;Die PARTEI;Kunzelmann, Nasrin;711;475;614;338;1325;813;Tierschutzpartei;Steyrer, Peter;1013;X;910;593;1923;593;V-Partei³;Vogt, Julia;185;X;177;148;362;148;PdH;-;X;X;202;97;202;97;dieBasis;Galic, Peggy;1260;X;1140;X;2400;X;Volt;-;X;X;379;X;379;X;Sonstige 2018;-;X;879;X;1011;X;1890;
129;Starnberg;24.10.2023;13:00;102352;80411;78,6;-1,6;80408;81854;79558;81198;850;656;80404;81852;79523;80972;881;880;160812;163706;159081;162170;1731;1536;CSU;Eiling-Hütig, Dr. Ute;CSU;Eiling-Hütig, Dr. Ute;27829;24946;29681;26649;57510;51595;GRÜNE;Schulte-Krauss, Andrea;16964;21641;17857;21348;34821;42989;FREIE WÄHLER;Vilsmayer, Matthias;10925;9237;8706;7376;19631;16613;AfD;Neumeyer, Alexander;6689;5418;6609;5282;13298;10700;SPD;Feichtmeier, Christiane;6526;6608;5903;7179;12429;13787;FDP;Hundesrügge, Britta;5332;7807;5112;7433;10444;15240;DIE LINKE;Jovy, Jörg;919;1895;848;1940;1767;3835;BP;Gutjahr, Rudolf;975;1636;624;1059;1599;2695;ÖDP;Haefeker, Walter;1518;1040;1256;883;2774;1923;Die PARTEI;Lißmann, Matthias;739;X;588;257;1327;257;Tierschutzpartei;Kreidemeier, Christina;933;X;763;550;1696;550;V-Partei³;Ipek, Sabine;209;246;133;168;342;414;PdH;-;X;X;164;80;164;80;dieBasis;-;X;X;728;X;728;X;Volt;-;X;X;551;X;551;X;Sonstige 2018;-;X;724;X;768;X;1492;
