Schlüsselnummer;Name der Regionaleinheit;Stand Tagesdatum;Stand Uhrzeit;Stimmberechtigte;Wähler;Wahlbeteiligung in %;Veränderung der Wahlbeteiligung gegenüber 2013 in %-P.;abgegebene Erststimmen insgesamt 2018;abgegebene Erststimmen insgesamt 2013;gültige Erststimmen insgesamt 2018;gültige Erststimmen insgesamt 2013;ungültige Erststimmen 2018;ungültige Erststimmen 2013;abgegebene Zweitstimmen insgesamt 2018;abgegebene Zweitstimmen insgesamt 2013;gültige Zweitstimmen insgesamt 2018;gültige Zweitstimmen insgesamt 2013;ungültige Zweitstimmen 2018;ungültige Zweitstimmen 2013;abgegebene Gesamtstimmen insgesamt 2018;abgegebene Gesamtstimmen insgesamt 2013;gültige Gesamtstimmen insgesamt 2018;gültige Gesamtstimmen insgesamt 2013;ungültige Gesamtstimmen 2018;ungültige Gesamtstimmen 2013;Partei mit Erststimmenmehrheit;Bewerber mit Erststimmenmehrheit;Parteiname;Bewerber CSU;Erststimmen CSU 2018;Erststimmen CSU 2013;Zweitstimmen CSU 2018;Zweitstimmen CSU 2013; Gesamtstimmen CSU 2018;Gesamtstimmen CSU 2013;Parteiname;Bewerber SPD;Erststimmen SPD 2018;Erststimmen SPD 2013;Zweitstimmen SPD 2018;Zweitstimmen SPD 2013; Gesamtstimmen SPD 2018;Gesamtstimmen SPD 2013;Parteiname;Bewerber FREIE WÄHLER;Erststimmen FREIE WÄHLER 2018;Erststimmen FREIE WÄHLER 2013;Zweitstimmen FREIE WÄHLER 2018;Zweitstimmen FREIE WÄHLER 2013; Gesamtstimmen FREIE WÄHLER 2018;Gesamtstimmen FREIE WÄHLER 2013;Parteiname;Bewerber GRÜNE;Erststimmen GRÜNE 2018;Erststimmen GRÜNE 2013;Zweitstimmen GRÜNE 2018;Zweitstimmen GRÜNE 2013; Gesamtstimmen GRÜNE 2018;Gesamtstimmen GRÜNE 2013;Parteiname;Bewerber FDP;Erststimmen FDP 2018;Erststimmen FDP 2013;Zweitstimmen FDP 2018;Zweitstimmen FDP 2013; Gesamtstimmen FDP 2018;Gesamtstimmen FDP 2013;Parteiname;Bewerber DIE LINKE;Erststimmen DIE LINKE 2018;Erststimmen DIE LINKE 2013;Zweitstimmen DIE LINKE 2018;Zweitstimmen DIE LINKE 2013; Gesamtstimmen DIE LINKE 2018;Gesamtstimmen DIE LINKE 2013;Parteiname;Bewerber BP;Erststimmen BP 2018;Erststimmen BP 2013;Zweitstimmen BP 2018;Zweitstimmen BP 2013; Gesamtstimmen BP 2018;Gesamtstimmen BP 2013;Parteiname;Bewerber ÖDP;Erststimmen ÖDP 2018;Erststimmen ÖDP 2013;Zweitstimmen ÖDP 2018;Zweitstimmen ÖDP 2013; Gesamtstimmen ÖDP 2018;Gesamtstimmen ÖDP 2013;Parteiname;Bewerber PIRATEN;Erststimmen PIRATEN 2018;Erststimmen PIRATEN 2013;Zweitstimmen PIRATEN 2018;Zweitstimmen PIRATEN 2013; Gesamtstimmen PIRATEN 2018;Gesamtstimmen PIRATEN 2013;Parteiname;Bewerber DIE FRANKEN;Erststimmen DIE FRANKEN 2018;Erststimmen DIE FRANKEN 2013;Zweitstimmen DIE FRANKEN 2018;Zweitstimmen DIE FRANKEN 2013; Gesamtstimmen DIE FRANKEN 2018;Gesamtstimmen DIE FRANKEN 2013;Parteiname;Bewerber AfD;Erststimmen AfD 2018;Erststimmen AfD 2013;Zweitstimmen AfD 2018;Zweitstimmen AfD 2013; Gesamtstimmen AfD 2018;Gesamtstimmen AfD 2013;Parteiname;Bewerber LKR;Erststimmen LKR 2018;Erststimmen LKR 2013;Zweitstimmen LKR 2018;Zweitstimmen LKR 2013; Gesamtstimmen LKR 2018;Gesamtstimmen LKR 2013;Parteiname;Bewerber mut;Erststimmen mut 2018;Erststimmen mut 2013;Zweitstimmen mut 2018;Zweitstimmen mut 2013; Gesamtstimmen mut 2018;Gesamtstimmen mut 2013;Parteiname;Bewerber Die Humanisten;Erststimmen Die Humanisten 2018;Erststimmen Die Humanisten 2013;Zweitstimmen Die Humanisten 2018;Zweitstimmen Die Humanisten 2013; Gesamtstimmen Die Humanisten 2018;Gesamtstimmen Die Humanisten 2013;Parteiname;Bewerber Die PARTEI;Erststimmen Die PARTEI 2018;Erststimmen Die PARTEI 2013;Zweitstimmen Die PARTEI 2018;Zweitstimmen Die PARTEI 2013; Gesamtstimmen Die PARTEI 2018;Gesamtstimmen Die PARTEI 2013;Parteiname;Bewerber Gesundheitsforschung;Erststimmen Gesundheitsforschung 2018;Erststimmen Gesundheitsforschung 2013;Zweitstimmen Gesundheitsforschung 2018;Zweitstimmen Gesundheitsforschung 2013; Gesamtstimmen Gesundheitsforschung 2018;Gesamtstimmen Gesundheitsforschung 2013;Parteiname;Bewerber Tierschutzpartei;Erststimmen Tierschutzpartei 2018;Erststimmen Tierschutzpartei 2013;Zweitstimmen Tierschutzpartei 2018;Zweitstimmen Tierschutzpartei 2013; Gesamtstimmen Tierschutzpartei 2018;Gesamtstimmen Tierschutzpartei 2013;Parteiname;Bewerber V-Partei³;Erststimmen V-Partei³ 2018;Erststimmen V-Partei³ 2013;Zweitstimmen V-Partei³ 2018;Zweitstimmen V-Partei³ 2013; Gesamtstimmen V-Partei³ 2018;Gesamtstimmen V-Partei³ 2013;Parteiname;Bewerber Sonstige 2013;Erststimmen Sonstige 2013 2018;Erststimmen Sonstige 2013 2013;Zweitstimmen Sonstige 2013 2018;Zweitstimmen Sonstige 2013 2013; Gesamtstimmen Sonstige 2013 2018;Gesamtstimmen Sonstige 2013 2013;
111;Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen;29.10.2018;11:27;125118;92483;73,9;+7,8;92483;82623;91588;81189;895;1434;92483;82622;91154;81111;1329;1511;184966;165245;182742;162300;2224;2945;CSU;Bachhuber, Martin;CSU;Bachhuber, Martin;35139;41734;39339;46818;74478;88552;SPD;Kühn, Robert;4471;10714;5680;13795;10151;24509;FREIE WÄHLER;Streibl, Florian;13293;11737;9516;4822;22809;16559;GRÜNE;Urban, Hans;19056;5421;16151;5509;35207;10930;FDP;Haugg, Fritz;4109;2441;4189;2845;8298;5286;DIE LINKE;Gehnen, Elmar;1930;1239;2145;1083;4075;2322;BP;Lausch, Josef;2505;3773;2615;3001;5120;6774;ÖDP;Gampl, Markus;1406;2173;1381;1444;2787;3617;PIRATEN;Kalipke, Myriam;433;1400;366;1138;799;2538;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Cyron, Dr. Anne;8173;X;8056;X;16229;X;LKR;-;X;X;51;X;51;X;mut;Ronge, Khando;270;X;365;X;635;X;Die Humanisten;-;X;X;93;X;93;X;Die PARTEI;Lutz, Christian;545;X;288;X;833;X;Gesundheitsforschung;-;X;X;102;X;102;X;Tierschutzpartei;-;X;X;608;X;608;X;V-Partei³;Mittelmaier, Roland;258;X;209;X;467;X;Sonstige 2013;-;X;557;X;656;X;1213;
112;Berchtesgadener Land;29.10.2018;11:27;94568;67508;71,4;+8,9;67508;58764;66862;57729;646;1035;67508;58763;66166;57493;1342;1270;135016;117527;133028;115222;1988;2305;CSU;Kaniber, Michaela;CSU;Kaniber, Michaela;28554;29551;28071;33875;56625;63426;SPD;Aigner, Susanne;4480;6688;4213;9350;8693;16038;FREIE WÄHLER;Koller, Michael;9103;7505;7871;3404;16974;10909;GRÜNE;Zimmer, Dr. Bernhard;10677;6839;11080;5067;21757;11906;FDP;Gschossmann, Wilhelm;2351;1051;2300;1218;4651;2269;DIE LINKE;Raufer, Michael;1712;835;1558;740;3270;1575;BP;Baueregger, Konrad;2192;1299;1995;1103;4187;2402;ÖDP;Paiva, Barbara;1014;2113;880;1333;1894;3446;PIRATEN;-;X;878;217;654;217;1532;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Schosnowski, Jens;6397;X;6590;X;12987;X;LKR;-;X;X;20;X;20;X;mut;Mayr, Maria;382;X;371;X;753;X;Die Humanisten;-;X;X;47;X;47;X;Die PARTEI;-;X;X;244;X;244;X;Gesundheitsforschung;-;X;X;90;X;90;X;Tierschutzpartei;-;X;X;495;X;495;X;V-Partei³;-;X;X;124;X;124;X;Sonstige 2013;-;X;970;X;749;X;1719;
113;Dachau;29.10.2018;11:27;104705;81301;77,6;+8,4;81299;70308;80670;69302;629;1006;81295;70309;80363;69326;932;983;162594;140617;161033;138628;1561;1989;CSU;Seidenath, Bernhard;CSU;Seidenath, Bernhard;27612;32791;29962;37049;57574;69840;SPD;Güll, Martin;10211;16200;6829;14968;17040;31168;FREIE WÄHLER;Purkhardt, Martina;11091;6922;10416;4601;21507;11523;GRÜNE;Kreß, Thomas;12851;3761;14628;4548;27479;8309;FDP;Sommerfeld, Dr. Frank;4724;1483;3978;1663;8702;3146;DIE LINKE;Westermeier, Jonathan;1775;1051;1733;987;3508;2038;BP;Paintner, Josef;1910;2708;1985;1975;3895;4683;ÖDP;Hinz, Christopher;1357;2212;1314;1630;2671;3842;PIRATEN;Welter, Dr. Oliver;514;1389;447;1127;961;2516;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Steier, Christoph;7412;X;7235;X;14647;X;LKR;-;X;X;31;X;31;X;mut;Krüger, Hans-Joachim;292;X;312;X;604;X;Die Humanisten;-;X;X;104;X;104;X;Die PARTEI;-;X;X;299;X;299;X;Gesundheitsforschung;-;X;X;124;X;124;X;Tierschutzpartei;Krämer, Michael;921;X;819;X;1740;X;V-Partei³;-;X;X;147;X;147;X;Sonstige 2013;-;X;785;X;778;X;1563;
114;Ebersberg;29.10.2018;11:27;99240;79235;79,8;+9,0;79234;68034;78652;67122;582;912;79231;68032;78360;67114;871;918;158465;136066;157012;134236;1453;1830;CSU;Huber, Thomas;CSU;Huber, Thomas;28381;31038;28130;33140;56511;64178;SPD;Rauscher, Doris;9535;13390;7078;16070;16613;29460;FREIE WÄHLER;Erhorn, Markus;6449;5171;7299;3924;13748;9095;GRÜNE;Sarnowski von, Thomas;16582;7879;17503;5759;34085;13638;FDP;Müller, Alexander;5270;3152;5244;2501;10514;5653;DIE LINKE;Fröhlich, Dr. Heinz;2000;914;2021;823;4021;1737;BP;Böhnlein, Robert;2093;2645;1897;1849;3990;4494;ÖDP;Reindl, Rosi;1476;1173;1172;1373;2648;2546;PIRATEN;-;X;1172;391;1032;391;2204;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Sturm, Hilmar;5614;X;5852;X;11466;X;LKR;-;X;X;38;X;38;X;mut;Held, Afra;388;X;414;X;802;X;Die Humanisten;-;X;X;98;X;98;X;Die PARTEI;Brunner, Simon;626;X;361;X;987;X;Gesundheitsforschung;-;X;X;106;X;106;X;Tierschutzpartei;-;X;X;582;X;582;X;V-Partei³;Capan, Yasemin;238;X;174;X;412;X;Sonstige 2013;-;X;588;X;643;X;1231;
115;Eichstätt;29.10.2018;11:27;97666;75191;77,0;+7,0;75191;67010;74626;65865;565;1145;75190;67008;74277;66095;913;913;150381;134018;148903;131960;1478;2058;CSU;Schorer-Dremel, Tanja;CSU;Schorer-Dremel, Tanja;32208;35769;33344;39936;65552;75705;SPD;De Lapuente, Christian;5235;11203;5881;12046;11116;23249;FREIE WÄHLER;Gottstein, Eva;10078;7274;8120;4782;18198;12056;GRÜNE;Bittlmayer, Klaus;8852;2873;8507;3058;17359;5931;FDP;Schön, Thomas;3316;1203;2851;1082;6167;2285;DIE LINKE;Eigner, Dominik;1862;1505;2136;1030;3998;2535;BP;Distler, Wolfgang;2411;2326;2046;1300;4457;3626;ÖDP;Lechner, Maria;1407;1890;1380;1392;2787;3282;PIRATEN;-;X;1118;264;843;264;1961;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Lipp, Oskar;8571;X;8338;X;16909;X;LKR;-;X;X;27;X;27;X;mut;-;X;X;181;X;181;X;Die Humanisten;-;X;X;96;X;96;X;Die PARTEI;Tischer, Felix;686;X;337;X;1023;X;Gesundheitsforschung;-;X;X;113;X;113;X;Tierschutzpartei;-;X;X;489;X;489;X;V-Partei³;-;X;X;167;X;167;X;Sonstige 2013;-;X;704;X;626;X;1330;
116;Erding;29.10.2018;11:27;99451;77171;77,6;+9,3;77171;65399;76550;64398;621;1001;77169;65396;76251;64393;918;1003;154340;130795;152801;128791;1539;2004;CSU;Scharf, Ulrike;CSU;Scharf, Ulrike;29038;32097;28371;33851;57409;65948;SPD;Eichinger, Gertrud;5220;7488;5058;11289;10278;18777;FREIE WÄHLER;Mehringer, Rainer;10531;6990;11150;5299;21681;12289;GRÜNE;Frank-Mayer, Ursula;11848;6282;12715;5171;24563;11453;FDP;Korn, Christian;3256;1629;3297;1486;6553;3115;DIE LINKE;Koppe, Walter;1794;1173;1828;919;3622;2092;BP;Zimmer, Andreas;2708;2532;2240;1873;4948;4405;ÖDP;Treffler, Stephan;2243;2516;1587;1748;3830;4264;PIRATEN;Lorenz, Stefan;399;1447;362;1115;761;2562;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Huber, Martin;8707;X;7982;X;16689;X;LKR;-;X;X;47;X;47;X;mut;-;X;X;216;X;216;X;Die Humanisten;-;X;X;75;X;75;X;Die PARTEI;Kuliberda, Markus;568;X;399;X;967;X;Gesundheitsforschung;-;X;X;120;X;120;X;Tierschutzpartei;-;X;X;632;X;632;X;V-Partei³;Krätschmer, Markus;238;X;172;X;410;X;Sonstige 2013;-;X;2244;X;1642;X;3886;
117;Freising;29.10.2018;11:27;120712;91939;76,2;+8,7;91924;80227;91327;79248;597;979;91934;80226;90696;78961;1238;1265;183858;160453;182023;158209;1835;2244;CSU;Herrmann, Dr. Florian;CSU;Herrmann, Dr. Florian;24986;30779;26728;35194;51714;65973;SPD;Grill, Markus;4756;8644;6118;14507;10874;23151;FREIE WÄHLER;Zierer, Benno;19199;10521;15865;10219;35064;20740;GRÜNE;Becher, Johannes;21905;19934;20880;9867;42785;29801;FDP;Barschdorf, Dr. Jens;4182;1895;4337;2079;8519;3974;DIE LINKE;Hoyer, Dr. Guido;2853;1510;2708;1432;5561;2942;BP;Sachs, Herbert;1725;2289;1578;1817;3303;4106;ÖDP;Bergauer, Felix;1280;1185;1279;1397;2559;2582;PIRATEN;Hiesinger, Stefan;493;1877;444;1621;937;3498;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Kranich, Bernhard;8742;X;8577;X;17319;X;LKR;-;X;X;51;X;51;X;mut;Capric, Katharina;395;X;445;X;840;X;Die Humanisten;-;X;X;155;X;155;X;Die PARTEI;Neuwirth, Kevin;811;X;554;X;1365;X;Gesundheitsforschung;-;X;X;116;X;116;X;Tierschutzpartei;-;X;X;684;X;684;X;V-Partei³;-;X;X;177;X;177;X;Sonstige 2013;-;X;614;X;828;X;1442;
118;Fürstenfeldbruck-Ost;29.10.2018;11:27;117454;92218;78,5;+7,5;92214;83354;91526;82214;688;1140;92211;83353;91274;82253;937;1100;184425;166707;182800;164467;1625;2240;CSU;Miskowitsch, Benjamin;CSU;Miskowitsch, Benjamin;29373;36560;31396;39342;60769;75902;SPD;Falk, Peter;8105;16975;8709;21223;16814;38198;FREIE WÄHLER;Friedl, Hans;11286;7783;9959;4678;21245;12461;GRÜNE;Runge, Dr. Martin;22786;10346;20704;7706;43490;18052;FDP;Bode, Ulrich;5496;2919;5543;2929;11039;5848;DIE LINKE;Martin-Köppl, Ernestine;2230;1377;2407;1088;4637;2465;BP;Kellerer, Sebastian;1447;2312;1422;1738;2869;4050;ÖDP;Holdt, Christian;1124;1426;1144;1206;2268;2632;PIRATEN;Rösch, Roger;584;1818;485;1514;1069;3332;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Hahn, Dr. Ingo;7622;X;7391;X;15013;X;LKR;-;X;X;36;X;36;X;mut;Maier, Manfred;330;X;391;X;721;X;Die Humanisten;-;X;X;132;X;132;X;Die PARTEI;-;X;X;351;X;351;X;Gesundheitsforschung;-;X;X;108;X;108;X;Tierschutzpartei;Wied, Alexander;921;X;897;X;1818;X;V-Partei³;Berchtold-Benchieb, Christine;222;X;199;X;421;X;Sonstige 2013;-;X;698;X;829;X;1527;
119;Ingolstadt;29.10.2018;11:27;90643;58016;64,0;+8,5;58016;49851;57549;49021;467;830;58014;49851;57124;49014;890;837;116030;99702;114673;98035;1357;1667;CSU;Grob, Alfred;CSU;Grob, Alfred;20734;22406;20833;26551;41567;48957;SPD;Spaeth, Dr. Christoph;5251;9417;5183;10466;10434;19883;FREIE WÄHLER;Flauger, Petra;4270;5291;4262;2134;8532;7425;GRÜNE;Kürten, Stephanie;9068;3938;9965;3517;19033;7455;FDP;Schäuble, Jakob;4257;1774;3686;1368;7943;3142;DIE LINKE;Bulling-Schröter, Eva;3368;1612;2419;1425;5787;3037;BP;Barthelmes, Michael;897;1172;882;772;1779;1944;ÖDP;Köstler, Raimund;920;1428;876;1073;1796;2501;PIRATEN;Doppler, Christian;429;1282;348;1058;777;2340;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Kraus, Johannes, gen. Kraus von Sande;7445;X;7321;X;14766;X;LKR;-;X;X;28;X;28;X;mut;-;X;X;141;X;141;X;Die Humanisten;Knöferl, Matthias;159;X;128;X;287;X;Die PARTEI;Sandner, Bernd;490;X;395;X;885;X;Gesundheitsforschung;-;X;X;110;X;110;X;Tierschutzpartei;-;X;X;348;X;348;X;V-Partei³;Meinen, Antje;261;X;199;X;460;X;Sonstige 2013;-;X;701;X;650;X;1351;
120;Landsberg am Lech, Fürstenfeldbruck-West;29.10.2018;11:27;126089;97026;77,0;+8,8;97024;83874;96101;82645;923;1229;97025;83874;95743;82701;1282;1173;194049;167748;191844;165346;2205;2402;CSU;Dorow, Alex;CSU;Dorow, Alex;34085;41570;34193;41810;68278;83380;SPD;Winklmeier, Christian;7356;14346;6705;17278;14061;31624;FREIE WÄHLER;Stockinger, Georg;9254;5317;9230;3864;18484;9181;GRÜNE;Triebel, Gabriele;23488;9072;23685;9709;47173;18781;FDP;Schäfer, Ulla;5515;2165;4756;2494;10271;4659;DIE LINKE;Sprinz, Hansjoachim;2876;1710;2543;1263;5419;2973;BP;Hofmann, Michael;2645;3555;2253;2240;4898;5795;ÖDP;Sedlmayr, Robert;2217;2283;1601;1667;3818;3950;PIRATEN;-;X;1972;507;1543;507;3515;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Schwarz, Edeltraud;8030;X;7897;X;15927;X;LKR;-;X;X;42;X;42;X;mut;Heidegger, Mirella;635;X;466;X;1101;X;Die Humanisten;-;X;X;149;X;149;X;Die PARTEI;-;X;X;467;X;467;X;Gesundheitsforschung;-;X;X;139;X;139;X;Tierschutzpartei;-;X;X;846;X;846;X;V-Partei³;-;X;X;264;X;264;X;Sonstige 2013;-;X;655;X;833;X;1488;
121;Miesbach;29.10.2018;11:27;86937;66815;76,9;+7,3;66815;59653;66349;58846;466;807;66813;59651;65745;58643;1068;1008;133628;119304;132094;117489;1534;1815;CSU;Aigner, Ilse;CSU;Aigner, Ilse;30297;33428;25033;33620;55330;67048;SPD;Schmidt-Völlmecke, Verena;4435;8225;4610;10076;9045;18301;FREIE WÄHLER;Hölscher, Gisela;7430;5167;8516;3705;15946;8872;GRÜNE;Tomaschek, Thomas;11086;4999;12046;4170;23132;9169;FDP;Lex, Ursula;3283;1629;3739;2167;7022;3796;DIE LINKE;Hager, Jörg;1322;709;1356;637;2678;1346;BP;Gelesch, Loris-Marco;1689;2114;2232;1821;3921;3935;ÖDP;Limmer, Peter;1043;1135;874;1122;1917;2257;PIRATEN;-;X;980;237;746;237;1726;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Bolle, Rainer;5445;X;5677;X;11122;X;LKR;-;X;X;22;X;22;X;mut;Kralik, Manuel;319;X;348;X;667;X;Die Humanisten;-;X;X;79;X;79;X;Die PARTEI;-;X;X;200;X;200;X;Gesundheitsforschung;-;X;X;87;X;87;X;Tierschutzpartei;-;X;X;564;X;564;X;V-Partei³;-;X;X;125;X;125;X;Sonstige 2013;-;X;460;X;579;X;1039;
122;Mühldorf a.Inn;29.10.2018;11:27;85378;60949;71,4;+8,8;60948;52662;60366;51801;582;861;60949;52667;59988;51889;961;778;121897;105329;120354;103690;1543;1639;CSU;Huber, Dr. Marcel;CSU;Huber, Dr. Marcel;29105;32677;26137;30202;55242;62879;SPD;Maier, Kilian;3741;5697;6206;10717;9947;16414;FREIE WÄHLER;Saller, Markus;6089;3854;5486;2604;11575;6458;GRÜNE;Bogner, Judith;6748;2977;6870;2510;13618;5487;FDP;Corticelli, Peter;1843;751;2064;1093;3907;1844;DIE LINKE;Hackl, Philipp;1271;856;1291;684;2562;1540;BP;Drechsler, Thomas;2036;1835;1919;1414;3955;3249;ÖDP;Retzer, Reinhard;1488;1617;1224;1262;2712;2879;PIRATEN;Seuffert, Daniel;303;889;254;726;557;1615;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Multusch, Oliver;7501;X;7248;X;14749;X;LKR;-;X;X;35;X;35;X;mut;-;X;X;213;X;213;X;Die Humanisten;-;X;X;62;X;62;X;Die PARTEI;-;X;X;257;X;257;X;Gesundheitsforschung;-;X;X;106;X;106;X;Tierschutzpartei;-;X;X;462;X;462;X;V-Partei³;Lippa, Magdalena;241;X;154;X;395;X;Sonstige 2013;-;X;648;X;677;X;1325;
123;München-Land-Nord;29.10.2018;11:27;119173;92966;78,0;+8,0;92964;83271;92259;82214;705;1057;92963;83276;91934;82178;1029;1098;185927;166547;184193;164392;1734;2155;CSU;Weidenbusch, Ernst;CSU;Weidenbusch, Ernst;28202;35308;30390;37841;58592;73149;SPD;Ganssmüller-Maluche, Annette;10443;19142;10199;23124;20642;42266;FREIE WÄHLER;Kraus, Nikolaus;11227;8713;8463;4356;19690;13069;GRÜNE;Köhler, Claudia;21059;8467;21277;6778;42336;15245;FDP;Jännert, Thomas;7011;3265;6703;3865;13714;7130;DIE LINKE;Hamm, Robert;2721;1387;2682;1146;5403;2533;BP;Furche, Dr. Franz;1357;1889;1277;1449;2634;3338;ÖDP;Sombach, Hanno;1024;1355;1182;1261;2206;2616;PIRATEN;Knoblich, Thomas;577;1849;529;1564;1106;3413;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Groß, Rainer;7038;X;6941;X;13979;X;LKR;Schütt, Ulrike;95;X;83;X;178;X;mut;Pflaum, Dr. Stephan;399;X;463;X;862;X;Die Humanisten;-;X;X;141;X;141;X;Die PARTEI;-;X;X;345;X;345;X;Gesundheitsforschung;-;X;X;139;X;139;X;Tierschutzpartei;Reithmayer, Elisabeth;1106;X;931;X;2037;X;V-Partei³;-;X;X;189;X;189;X;Sonstige 2013;-;X;839;X;794;X;1633;
124;München-Land-Süd;29.10.2018;11:27;114700;92329;80,5;+6,8;92325;83455;91709;82307;616;1148;92311;83456;91470;82395;841;1061;184636;166911;183179;164702;1457;2209;CSU;Schreyer, Kerstin;CSU;Schreyer, Kerstin;29564;38157;31427;39619;60991;77776;SPD;Kohnen, Natascha;11217;16905;7866;20444;19083;37349;FREIE WÄHLER;Ertl, Dr. Ilse;7564;4790;7217;3847;14781;8637;GRÜNE;Büchler, Dr. Markus;21649;10060;23977;7669;45626;17729;FDP;Markwort, Helmut;9442;5837;8183;5532;17625;11369;DIE LINKE;Baudler, Bernhard;1965;1176;2064;959;4029;2135;BP;Geiger, Dr. Albert;1439;1990;1240;1237;2679;3227;ÖDP;Streit, Wilhelm;1030;1164;1116;1177;2146;2341;PIRATEN;Belas, Manuel;397;1516;379;1223;776;2739;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Riediger, Ulrich;6355;X;6381;X;12736;X;LKR;Schalamow, Silvia;41;X;46;X;87;X;mut;Linke, Jörg;322;X;396;X;718;X;Die Humanisten;-;X;X;111;X;111;X;Die PARTEI;Gutbrod, Thomas;467;X;317;X;784;X;Gesundheitsforschung;-;X;X;62;X;62;X;Tierschutzpartei;-;X;X;509;X;509;X;V-Partei³;Preisinger, Jürgen;257;X;179;X;436;X;Sonstige 2013;-;X;712;X;688;X;1400;
125;Neuburg-Schrobenhausen;29.10.2018;11:27;81620;59068;72,4;+7,3;59067;52122;58626;51489;441;633;59065;52118;58201;51049;864;1069;118132;104240;116827;102538;1305;1702;CSU;Enghuber, Matthias;CSU;Enghuber, Matthias;20292;31689;25462;29617;45754;61306;SPD;Fischer, Andreas;3187;6450;3640;8546;6827;14996;FREIE WÄHLER;Weigert, Roland;16815;5335;8137;4991;24952;10326;GRÜNE;Schwarz, Karola;5925;2930;7034;2397;12959;5327;FDP;Gumppenberg Freiherr von, Michael;1760;848;2255;1044;4015;1892;DIE LINKE;Nava, Gabriele;1176;989;1342;851;2518;1840;BP;Ferstl, Christian;1466;1255;1547;1232;3013;2487;ÖDP;Hofmaier, Franz;607;589;667;803;1274;1392;PIRATEN;Deuter, Reinhold;313;919;211;880;524;1799;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Wilhelm, Christina;6533;X;6749;X;13282;X;LKR;-;X;X;23;X;23;X;mut;-;X;X;115;X;115;X;Die Humanisten;-;X;X;62;X;62;X;Die PARTEI;Blei, Christian;552;X;351;X;903;X;Gesundheitsforschung;-;X;X;79;X;79;X;Tierschutzpartei;-;X;X;405;X;405;X;V-Partei³;-;X;X;122;X;122;X;Sonstige 2013;-;X;485;X;688;X;1173;
126;Pfaffenhofen a.d.Ilm;29.10.2018;11:27;82997;60848;73,3;+7,9;60848;52835;60226;51462;622;1373;60848;52836;60047;52102;801;734;121696;105671;120273;103564;1423;2107;CSU;Straub, Karl;CSU;Straub, Karl;21512;24248;23935;29781;45447;54029;SPD;Käser, Markus;5882;10230;4637;10260;10519;20490;FREIE WÄHLER;Gürtner, Albert;8043;6299;6927;3003;14970;9302;GRÜNE;Reim, Wilhelm;6821;3006;8256;2946;15077;5952;FDP;Schäch, Josef;5665;1910;3027;1409;8692;3319;DIE LINKE;de la Motte Rouge, Werner;1337;1013;1526;888;2863;1901;BP;Prado Diaz, Robert;1241;1615;1360;1236;2601;2851;ÖDP;Ebner, Siegfried;1210;1330;1061;1017;2271;2347;PIRATEN;-;X;1193;274;934;274;2127;DIE FRANKEN;-;X;X;X;X;X;X;AfD;Teich, Tobias;7738;X;7788;X;15526;X;LKR;-;X;X;33;X;33;X;mut;-;X;X;171;X;171;X;Die Humanisten;-;X;X;65;X;65;X;Die PARTEI;Wallner, Max;509;X;274;X;783;X;Gesundheitsforschung;-;X;X;82;X;82;X;Tierschutzpartei;-;X;X;435;X;435;X;V-Partei³;Steinacher, Sebastian;268;X;196;X;464;X;Sonstige 2013;-;X;618;X;628;X;1246;
